latitude,longitude,rwi
24.916331,90.3845215,0.117
21.6880569,92.3620605,-0.52
22.4211843,90.2087402,-0.327
23.6948343,88.8024902,0.321
24.3571051,91.2194824,-0.095
24.916331,88.4729004,-0.045
22.3399141,90.670166,-0.059
25.2347581,89.1760254,-0.431
26.2441559,88.494873,-0.681
25.0557447,92.010498,-0.169
23.1504616,90.1867676,0.219
24.4571501,90.9118652,0.099
25.8295607,89.4396973,0.04
23.8757915,89.5495605,-0.441
25.155229,89.8352051,-0.263
25.195,89.1760254,-0.301
24.8166532,89.901123,0.172
24.1567778,91.7248535,-0.259
22.4821059,92.0544434,-0.173
24.4971459,89.5495605,-0.175
25.7306321,88.8684082,-0.327
24.5571158,89.7692871,-0.541
24.2770121,89.6813965,0.861
24.7168951,89.1760254,-0.335
23.8958823,89.5056152,-0.146
25.075648,91.8127441,-0.218
23.1302568,91.8127441,-0.436
24.8166532,91.5930176,-0.296
25.7108365,88.7145996,0.171
24.7568079,89.197998,0.065
24.9760991,88.4509277,-0.669
22.6444321,91.2414551,0.151
23.5539161,91.1315918,0.318
23.049407,91.5490723,-0.357
25.0159284,89.6594238,-0.673
23.7551814,89.7253418,0.305
22.5024071,90.6921387,-0.243
23.4128467,90.736084,0.281
24.7568079,90.4943848,-0.116
22.5024071,90.2526855,0.2
21.4632931,91.9445801,0.304
24.7767595,90.5822754,0.225
24.1567778,90.6262207,0.054
22.4618017,90.802002,-0.011
24.5970797,92.010498,0.164
23.9561359,88.8024902,0.6
22.0958194,90.2966309,-0.411
24.4371475,89.5056152,0.176
24.9362569,90.0769043,0.096
23.0089639,90.1428223,-0.069
21.7697025,92.1203613,-0.089
23.91597,88.9343262,0.402
24.0966182,89.5275879,-0.227
22.8673176,90.8898926,0.05
21.9532352,92.4279785,-0.436
22.9078031,91.6369629,0.126
21.6267923,92.3181152,0.002
24.6170569,88.9562988,-0.101
21.9328544,91.9006348,-0.39
25.7899992,89.197998,0.123
24.1768248,89.3737793,-0.645
23.1504616,89.4396973,-0.425
24.2569809,91.2194824,-0.488
23.2716267,89.7473145,0.2
25.7702134,88.4509277,-0.799
23.3725134,89.1540527,0.1
25.0358382,91.3513184,-0.531
22.82682,89.0222168,-0.067
22.5632929,90.5603027,0.044
23.6143282,90.6262207,0.44
23.9561359,91.1315918,0.46
24.7168951,90.4724121,0.267
22.4414945,89.4396973,-0.309
22.4821059,89.3737793,-0.587
22.4414945,89.9450684,0.097
24.6570018,91.8127441,0.455
24.5571158,91.4172363,-0.625
24.4371475,89.967041,0.146
22.7457888,90.2966309,-0.455
25.9876744,88.9562988,-0.388
24.7368531,89.5495605,-0.134
25.9876744,89.329834,-0.038
25.4730329,89.3737793,-0.357
25.7899992,88.494873,-0.378
22.4008712,89.7253418,-0.467
23.029187,92.3400879,-0.605
22.3195891,89.1320801,-0.427
22.3602361,90.4943848,-0.328
25.8888782,88.8024902,-0.342
25.115445,88.692627,-0.055
24.7568079,91.7687988,0.209
22.5024071,91.505127,0.181
25.155229,88.9123535,-0.348
25.2148807,89.1101074,0.112
25.075648,89.967041,-0.454
22.4821059,91.9885254,-0.67
24.0765587,88.7805176,-0.584
24.1567778,89.2858887,0.327
23.8757915,89.2419434,-0.224
25.7504244,89.7692871,-0.155
22.82682,92.142334,-0.419
24.5770993,88.3850098,-0.369
24.8166532,89.1320801,0.01
22.5632929,89.7253418,-0.202
23.3926816,90.604248,0.275
25.9876744,88.494873,-0.133
22.8673176,91.7028809,0.384
24.8166532,89.8791504,-0.163
25.1751161,90.5603027,-0.419
22.2789302,90.6921387,-0.273
24.6969338,91.9445801,0.8
22.3399141,90.6262207,-0.354
22.9482765,90.4943848,-0.106
23.3119906,90.1647949,-0.009
24.2369466,91.2414551,0.35
22.6038685,91.1535645,0.445
23.2514401,90.802002,0.417
24.9561796,91.2634277,-0.565
23.1302568,90.0769043,0.192
23.1100489,91.4831543,0.077
25.1751161,88.7585449,0.095
25.0358382,89.7912598,-0.374
22.0347295,90.2526855,-0.472
22.8470703,92.3400879,-0.223
25.7306321,89.8132324,-0.534
24.0564961,88.7365723,-0.602
23.2716267,90.4724121,0.362
24.5171391,91.9665527,0.497
23.2110579,89.2199707,0.393
25.433353,89.1101074,0.309
24.7568079,90.1208496,-0.53
22.2585964,90.0549316,0.08
23.5941939,90.5163574,0.961
24.8964019,89.2199707,-0.322
26.0863877,88.9782715,-0.294
25.1353386,91.2854004,-0.547
22.7660511,90.4064941,-0.303
23.8356006,90.8679199,0.255
23.049407,90.8239746,0.575
23.6545875,88.8684082,0.21
23.5941939,90.2307129,-0.057
25.1353386,89.9230957,-0.129
23.6545875,89.7473145,-0.043
22.6241518,91.7248535,0.086
24.537129,91.505127,0.012
22.6038685,91.9226074,-0.736
25.115445,89.9230957,-0.346
24.2369466,89.8352051,0.029
23.7551814,90.7580566,0.624
23.089838,91.0656738,0.02
23.4733235,89.1540527,0.144
22.1365313,92.1862793,0.075
24.7767595,90.4504395,0.467
25.1353386,90.2746582,-0.362
24.7967079,90.9118652,-0.189
26.1258498,88.5168457,-0.598
22.2789302,89.9450684,0.353
25.4135082,89.3518066,0.016
22.4211843,89.0881348,-0.449
21.9124706,92.4499512,-0.708
23.049407,89.7692871,0.381
24.3971326,90.7800293,-0.036
25.1751161,90.3625488,-0.194
22.8673176,91.2194824,0.519
23.91597,91.2414551,0.532
22.8065667,91.4172363,-0.013
23.6948343,90.9338379,-0.034
23.069624,89.0441895,-0.145
22.7660511,90.9338379,-0.589
23.2716267,90.3186035,-0.016
22.5024071,89.0002441,-0.265
24.8166532,89.5056152,0.367
25.433353,89.5495605,-0.27
20.8074712,92.3181152,0.449
24.8764695,92.1203613,-0.158
26.1850178,88.9562988,-0.452
22.7660511,89.7912598,-0.018
24.7767595,88.2312012,-0.257
22.5430006,90.7141113,-0.474
24.6969338,91.1315918,0.118
24.1567778,90.2746582,0.427
23.2110579,91.1096191,0.086
22.7863104,89.2858887,0.051
25.6118091,89.4177246,0.311
22.8065667,89.7033691,-0.623
22.82682,91.0217285,-0.001
22.0550957,90.3625488,-0.624
23.91597,91.1315918,0.479
26.2047338,89.0661621,-0.302
24.637031,90.736084,-0.049
23.9762142,90.8898926,0.109
24.9362569,90.7580566,0.238
24.1768248,91.439209,-0.317
22.8875618,90.9997559,0.177
21.6472167,92.0544434,-0.017
22.5227053,92.4719238,-0.455
24.1567778,90.1867676,0.195
23.2514401,90.1428223,0.205
25.8493365,89.4177246,-0.374
23.4733235,89.0441895,0.149
24.4371475,88.7805176,-0.295
23.513626,89.4616699,0.043
24.537129,89.395752,0.119
23.9762142,91.3513184,-0.27
25.869109,88.5168457,-0.074
24.637031,89.4616699,-0.551
24.2569809,90.2746582,-0.045
24.2970401,90.3405762,-0.03
24.637031,89.6154785,-0.278
24.6969338,90.2307129,0.104
22.4414945,90.4943848,-0.129
24.9561796,90.3405762,-0.352
25.1751161,90.604248,-0.235
23.4330087,89.3737793,-0.273
24.4971459,90.7141113,-0.04
22.7457888,89.4396973,-0.597
22.2382596,90.0549316,-0.474
23.3725134,90.3625488,-0.101
23.7752908,89.9890137,-0.241
24.7368531,91.2854004,-0.656
24.8565339,91.1535645,-0.476
24.7368531,88.3630371,-0.339
22.3195891,91.9226074,0.654
24.9561796,89.7473145,-0.177
24.5970797,90.2746582,-0.343
21.5450657,91.9226074,0.104
24.916331,89.8571777,-0.303
24.5770993,90.098877,-0.844
25.2943708,89.2199707,0.651
21.7901067,92.5817871,-0.623
24.5571158,90.5603027,0.043
22.8673176,91.4611816,0.022
24.8565339,90.2087402,0.21
24.4971459,88.4289551,0.044
22.6241518,90.3405762,0.259
22.4618017,89.5495605,-0.256
24.0364303,89.901123,-0.279
22.7052551,92.208252,-0.718
24.8565339,89.8791504,-0.272
24.637031,90.6262207,0.281
22.3399141,89.8132324,0.235
24.4171416,89.6154785,0.357
24.916331,89.7253418,0.095
22.9685086,90.3405762,0.263
24.3170649,88.6047363,-0.558
24.9960153,88.9782715,0.004
23.8356006,88.5827637,-0.431
24.0564961,89.9890137,0.072
24.7368531,91.3513184,-0.547
24.5171391,91.1535645,-0.623
24.637031,89.9450684,-0.077
22.8673176,89.2419434,0.272
24.1968685,89.6374512,0.303
22.8065667,90.2746582,-0.008
24.9760991,90.2526855,-0.398
24.5171391,89.4616699,0.064
25.2943708,89.6154785,-0.304
22.7660511,90.3186035,0.133
21.2996102,92.076416,0.308
25.195,89.263916,0.064
22.6241518,91.2634277,-0.314
25.2745031,89.8571777,0.115
22.9482765,91.1096191,0.575
22.6849838,92.1862793,-0.481
22.9078031,91.6809082,0.07
23.7149531,89.0441895,-0.287
24.637031,90.098877,-0.372
25.9284066,88.6486816,-0.103
23.089838,89.9450684,-0.099
26.0863877,88.7365723,-0.149
23.069624,89.967041,-0.442
22.8065667,91.5490723,0.387
25.4531946,89.7033691,-0.543
25.0955481,91.0656738,-0.429
24.8565339,91.6809082,0.26
22.6647094,89.0222168,-0.208
24.8166532,88.9123535,0.209
23.5740566,89.7473145,0.392
24.2169091,89.2858887,0.754
24.9362569,89.8571777,0.3
23.6143282,89.5056152,-0.335
23.2312505,89.4616699,0.621
24.5571158,90.4724121,0.151
22.1568828,90.2087402,0.049
23.4531676,89.0441895,-0.397
25.1751161,88.7805176,-0.403
24.0966182,90.8459473,0.642
22.9482765,92.010498,-0.086
22.7052551,89.4177246,-0.238
25.0955481,89.2858887,-0.267
24.916331,90.2966309,-0.319
22.5227053,90.3625488,0.148
22.7660511,89.5715332,0.455
22.8875618,91.2854004,0.635
24.537129,90.6921387,-0.216
23.1908622,91.9006348,-0.681
21.7288855,89.5715332,-0.434
22.3399141,90.032959,-0.378
24.7767595,92.1643066,0.712
23.2312505,90.8679199,-0.172
24.8764695,90.5603027,-0.142
24.0364303,90.2087402,0.202
23.2918101,90.7580566,0.084
22.6849838,90.1208496,-0.526
23.7752908,89.3078613,-0.239
23.9762142,89.3078613,0.006
24.4171416,89.0661621,-0.131
24.0966182,90.8898926,0.099
22.9685086,91.7468262,-0.039
25.2546322,89.0222168,-0.109
22.2992611,89.1540527,-0.363
21.6880569,92.3181152,-0.431
23.1100489,89.1320801,-0.215
25.1751161,89.8791504,0.269
24.3170649,91.5490723,-0.3
23.9962894,90.736084,0.05
25.7108365,89.0441895,-0.58
23.3926816,92.208252,-0.64
25.5721751,88.7805176,0.011
25.6316212,89.4396973,-0.589
22.5632929,90.3405762,0.202
25.115445,88.5827637,0.461
22.4211843,92.208252,-0.064
25.0358382,89.8791504,-0.463
22.5024071,90.9558105,-0.62
23.3926816,91.1315918,0.743
25.3539542,89.1540527,-0.639
24.7368531,90.3845215,0.408
25.6316212,88.5388184,0.355
23.5539161,89.7033691,0.305
23.4934763,88.8024902,0.207
25.0358382,92.010498,-0.722
22.2789302,91.8786621,0.997
25.0358382,91.7028809,-0.4
24.2369466,90.5383301,0.755
24.4771496,91.2854004,0.077
25.6514299,89.7912598,-0.166
24.3170649,89.2199707,0.19
23.2312505,89.395752,0.163
21.6472167,92.1203613,-0.457
24.2569809,89.9890137,0.213
23.3926816,91.0656738,0.646
24.9561796,90.1647949,-0.045
22.6849838,89.2199707,0.114
24.2369466,89.6154785,-0.175
22.4821059,89.2199707,-0.491
22.8065667,90.9118652,0.033
25.8295607,89.2199707,0.28
23.3725134,90.8239746,0.193
24.7168951,89.6374512,-0.457
24.4771496,89.4616699,-0.084
24.4571501,88.560791,0.144
24.4971459,91.5270996,-0.489
24.7967079,90.098877,-0.341
22.5835822,90.9997559,0.4
23.8958823,90.9558105,0.45
24.5171391,89.0222168,-0.453
23.2918101,89.901123,-0.282
24.8764695,90.5163574,-0.312
22.5024071,91.7028809,0.627
22.0958194,91.0217285,-0.297
25.155229,89.395752,0.397
24.4971459,88.626709,-0.004
24.4171416,92.1643066,-0.514
22.7052551,90.8459473,-0.278
23.3321679,89.8352051,-0.477
24.9561796,90.8679199,-0.229
